0,1
2020-01-02,"[['[속보] 삼성전자 세계 첫 3나노 반도체 기술 개발', ""'전 대법관까지 모신' 삼성전자, 준법·이사회중심 경영 탄력"", '[신년사] 김기남 삼성전자 부회장 ""미래 세대에 물려줄 100년 기업 만드는 원...', '삼성전자 시무식 ""새로운 미래 위한 성장과 도약의 해로 만들자""', '김기남 ""100년기업 삼성전자 성장·도약의 해 만들자""', ""전자랜드 '삼성전자·LG전자 브랜드 대전' 실시"", ""[기업] 삼성전자, 최고 기술전문가 '삼성 명장' 4명 선발"", '삼성전자 반도체 공장, 1분간 정전에 수십억 피해 발생', ""삼성전자·삼성전기, 최고 기술 전문가 '삼성명장' 4명 선발"", '삼성전자, 올해 영업익 전년比 46%↑ 기대-신한']]"
2020-01-03,"[[""이재갑 노동, 삼성전자 등 대기업 임원 만나 '김용균법' 설명"", ""[미리보는 CES 2020] 삼성전자 '게이밍 모니터' 짜릿한 몰입감에 눈이 즐겁네"", ""삼성전자 'QLED TV' 화재예방 설계구조 '국제인증' 획득"", '삼성전자, CES 2020서 큐브 냉장고 공개', '김현석 삼성전자 사장 ""경험의 시대 열린다, 삼성이 선도할 것""', '삼성전자 QLED, 화재 원인 방지 설계 인증', ""삼성전자 소형 '큐브 냉장고' CES 공략한다...신개념 가전 대거 전시"", '삼성전자 ""세계 5G폰 절반이 갤럭시…670만대 출하""', ""삼성전자, CES2020서 게이밍 모니터 '오디세이' 공개"", '삼성전자 김현석 ""다가올 10년은 \'맞춤형 가전\' 경험의 시대""']]"
2020-01-06,"[['[CES 2020] 삼성전자 ""가정용 마이크로LED TV 시대 연다""', '[CES 2020] 미래 기술로 잇는 생활…삼성전자, 혁신 제품 다수 공개', '[CES]삼성전자, 소비자 경험 혁신할 AI·5G 기반 미래기술 선보인다', ""[CES 2020] 삼성전자 '가정용' 마이크로 LED TV로 라인업 확대한다"", '삼성전자, CES 2020 참가', '공학한림원, 김현석 삼성전자 사장 등 45명 신입 정회원 선정', '[CES 2020]삼성전자, CES 2020에서 세상에 없던 로봇 공개', '비전 발표하는 한종희 삼성전자 사장', '[CES 2020]삼성전자, 가정용 ‘마이크로 LED’ 시대 연다', ""'더 월' 공개하는 한종희 삼성전자 사장""]]"
2020-01-07,"[[""[CES2020]삼성전자, 지능형 반려로봇 '볼리(Ballie)' 공개"", ""[CES 2020] 삼성전자, 사용자 상호작용 높인 로봇 '볼리' 첫 공개"", ""터미네이터 현실로?…삼성전자 '인공 인간' 깜짝 놀랄 경지"", '[CES 2020] 김현석 사장 ""잘 했어, 볼리""…삼성전자, 반려로봇 최초 공개', ""삼성전자, '경험의 시대' 주도할 미래기술 비전 제시"", '삼성전자, ‘경험의 시대’ 주도할 미래기술 비전 제시', 'SK텔레콤, 삼성전자와 기술 협력', '“집에 로봇 비서가?”…삼성전자가 CES서 공개한 ‘볼리’', ""김현석 삼성전자 사장, CES 기조연설서 '볼리' 최초 공개"", ""삼성전자, 지능형 반려 로봇 '볼리' 공개""]]"
2020-01-08,"[[""삼성전자 작년 영업익 27.7조 '반토막'…'4분기 바닥탈출 시동'(종합)"", '삼성전자 작년 영업이익 27.7조원…전년 대비 52.9% 감소', '삼성전자, 4Q 영업익 7.1조…전년대비 34.26%↓', '대한상의, CES 참관단 파견...삼성전자·LG전자·현대차·두산 부스 등 방문', '바닥 찍은 삼성전자…4분기 선방으로 올해 본격 반등 예고', '삼성전자 영업익 반토막···전년보다 53% 떨어진 27조100억', ""삼성전자, 2019년 영업익 27.7조…위기 속 '선방'(종합)"", '삼성전자, 작년 4Q 영업익 7.1조·매출 59조', '삼성전자 4분기 영업이익 7.1조...바닥 탈출?', ""[CES 2020] 삼성전자의 '인공인간' 프로젝트 '네온' 전격 공개""]]"
2020-01-09,"[['삼성전자, 휴대용 SSD \'T7 터치\' 출시…""속도·보안 강화""', ""삼성전자, CES 혁신상 받은 포터블 SSD 'T7 Touch' 출시"", '삼성전자 6만원 가나…수정주가 기준 45년來 최고', ""삼성전자, '삼성 디지털프라자 20주년 대축제' 진행"", '[특징주] 삼성전자, 2거래일 연속 신고가 경신', '삼성전자, 디지털프라자 20주년 맞아 대규모 행사 실시', ""삼성전자, 美 환경보호청 주관 '친환경 어워즈' 2관왕"", '삼성전자 2년만에 사상최고치 갈아치웠다', '""반도체 실적 밝다""···삼성전자, 상장 45년 만에 사상 최고가', '삼성전자 주가 사상 최고 갱신, 45년 만에 6만원 넘나']]"
2020-01-10,"[[""다시 날개펴는 삼성전자·SK하이닉스…시총 비중 30% '코앞'"", '주진모 폰 해킹 피해 선긋는 삼성전자 ""클라우드 해킹 아니다""', '삼성전자 ""주진모 등 해킹 피해, 계정 외부 유출·도용이 원인""...이중보안 강...', '삼성전자, 로잔 동계 유스올림픽서 체험관 운영', '삼성전자 ""주진모 스마트폰 해킹... 갤럭시⋅클라우드 문제 아냐""', '삼성전자, `2020 로잔 동계 유스 올림픽` 공식 파트너로 참여', '‘연예인 휴대전화 해킹·협박사건’…삼성전자 “해킹 아닌 계정 외부 유출”', ""삼성전자 액면분할 전 2000억 '몰빵' 슈퍼개미 근황은…"", '[종합] \'해킹피해 주장\' 주진모 ""유포 강경대응""→삼성전자 ""해킹NO""', ""삼성전자 또 '최고가'""]]"
2020-01-13,"[['[르포] 삼성전자 음향기술 산실, LA오디오랩 가보니', '삼성전자 임원들, ‘위법행위 지시 금지’ 서약', '삼성전자 ""법·원칙 준수 조직문화""…전 임원 \'준법\' 서약식', '삼성전자 6만원·SK하이닉스 10만원 돌파…새역사 썼다', ""[속보] 삼성전자 주가 장중 6만원 '터치'…액면분할 이후 최초"", '삼성전자, 준법실천 서약식 개최…사장단 직접 서명', '삼성전자 사장단·임원, 준법경영 다짐', '삼성전자 6만원·SK하이닉스 10만원 돌파...""반도체 경기회복 기대감""', ""삼성전자, '6만원'터치…장중 최고가"", '삼성전자 3,000,000원 시대…새 역사 썼다']]"
2020-01-14,"[[""삼성전자, 美 5G망 설계 전문 '텔레월드 솔루션즈' 인수"", ""'신고가 행진' 삼성전자·SK하이닉스…'추격 매수' 해도 될까"", '[속보] 삼성전자·SK하이닉스, 또 사상 최고가', '삼성전자, 5G 공략 강화…미국 네트워크 망설계 기업 인수', '삼성전자, 美 5G 통신망 설계회사 사들여', '삼성전자·SK하이닉스, 장초반 또 신고가 경신', '삼성전자, 美 5G 망설계 기업 인수…""북미 이통시장 점유율 확대""', '삼성전자, 미국 TWS 인수…""북미 이통시장 점유율 확대""(종합)', 'KB증권, 삼성전자 기초자산 ELS 등 9종 공모', '[종목톡톡]삼성전자·SK하이닉스 또 동반 신고가']]"
2020-01-15,"[['삼성전자, 2020년형 무풍에어컨 공개… ""사계절 가전, 자주 편리하게 청소하세...', '삼성전자, 지난해 美 특허취득 랭킹 2위…6000건 돌파', ""삼성전자, '무풍 에어컨' 에너지비용 잡았다…“AI로 제어, 최대 47% 절감”"", '삼성전자, 신형 무풍에어컨·무풍큐브 공개', ""삼성전자, 2020년형 '무풍에어컨·무풍큐브' 공개"", '삼성전자, 인텔에 3년 만에 글로벌 반도체 공급업체 1위 내줘', '지난해 인텔에 밀린 삼성전자...올해 어떨까?', '6만원 찍고 숨 고르는 삼성전자… 다시 올라간다', ""삼성전자 주가 상승에 삼성그룹주 펀드도 '신바람'"", '[기업] 삼성전자 2020년 에어컨·공기청정기 공개']]"
2020-01-16,"[['쿠첸, 삼성전자 출신 박재순 신임 대표이사 선임', '[특징주] 삼성전자, 사흘 만에 또 최고가 경신', '이감규 LG전자 부사장 ""삼성보다 에어컨 더 많이 팔았다""', ""기업 78%는 죽쒔는데···삼성전자 '주식 쪼개기 저주' 풀렸나"", '삼성전자, 1.2조 규모 협력사 물품대금 조기 지급', '삼성전자, 설 맞이 온정 나눔… 협력회사 대금 1.2조원 조기 지급', '삼성전자, 설 맞아 온·오프라인 직거래 장터 운영', ""삼성전자 법인세 세율…'라이벌' 인텔의 2.4배"", '[마켓뷰] 코스피, 美·中 합의 서명에도 시큰둥… 삼성전자 다시 훨훨', '외국매체 ""삼성전자 다음 갤럭시플립Z는 문자 보내기에 편하지 않아""']]"
2020-01-17,"[['삼성전자, 19만원대 키즈 폰 출시', '삼성전자, 키즈폰 ‘갤럭시 A10e’ 출시… 19만9천원', '삼성, 이르면 20일 임원인사…삼성전자 대표 3인 체제 유지될까', '저학년 자녀에 안성맞춤, 삼성전자19만원대 갤럭시 A10e 출시', '삼성전자 또 최고가 \'지금이라도?\'...""외국인 보라""', '[특징주] 삼성전자, 연일 사상 최고가 행진', '삼성전자, 10만원대 저사양 갤럭시A10e 출시…""어린이용으로 딱""', '삼성전자는 &apos;시총 1兆 달러&apos; 기업이 될 수 있을까', '법원 도착한 이재용 삼성전자 부회장', '[시그널] ""삼성전자도 반한 기술력""···소재기업 레이크머티리얼즈 코스닥 ...']]"
2020-01-20,"[[""삼성전자 사장단 인사…스마트폰 수장에 '50대' 노태문 발탁(종합)"", '삼성전자 스마트폰 수장에 노태문…4명 사장 승진', '삼성전자, 이인용 사장 복귀…사장단 4명 승진 정기인사(종합)', '젊어진 삼성전자…주요 보직에 50대 사장, 세대교체 인사 단행', ""이재용 '뉴 삼성' 시동... 삼성전자 50대 사장단 전진배치"", '삼성전자 `사장단 인사`…승진 4명 등 9명 단행(상보)', ""삼성전자 사장단 인사...'스마트폰 사령탑'에 노태문 승진 발탁"", '[삼성인사]젊은 리더십 노태문, 삼성전자 무선사업부 총괄', '[프로필]경계현 삼성전자 대표이사 사장', ""'안정 속 변화' 택한 삼성전자 인사…세대교체 주목""]]"
2020-01-21,"[['""시총 30%룰 수시적용""…암초 만난 삼성전자', '삼성전자, 반도체 협력사에 인센티브 417억 지급', '삼성전자, 설 앞두고 협력사에 인센티브 417억 지급', '삼성전자 ‘임원 인사’..부사장 14명 등 162명 승진', '70년생 부사장·81년생 외국인 전무…삼성전자 임원도 ‘세대교체’', ""'인공인간' 선보인 삼성전자 '천재 과학자' 30대 전무됐다"", '50세 최원준 부사장·39세 미스트리 전무…삼성전자 162명 임원 승진', '삼성전자, 정기 임원인사 발표…부사장 14명 등 총 162명 승진', ""삼성전자 임원인사도 세대교체…CEO 후보군에 '젊은 피'"", '""미래 CEO 후보군 확대""…삼성전자, 임원인사 162명 승진']]"
